Atom robotbase_docking_curr(leader, c5_9);Atom free(leader)
Atom robotbase_docking_curr(leader, c10_2);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c2_3, c10_14);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c2_3, c1_2);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_1, c16_13, c6_10);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c10_14, c1_2);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c10_14, c2_2);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c10_14, c2_3);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c1_2, c6_10);Atom free(leader)
Atom robotbase_goingto_curr(leader, n_0, c1_2, c16_13);Atom free(leader)
Atom robotbase_undocking_curr(leader, c10_14);Atom free(leader)
